epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1465.53,0.86535,1.01589,1.15118,0.72751,0.5741,0.63929,0.46688,1.05834,1.53572,1.24502,0.000294061,0.000294061,0.000294061
43,1499.85,0.87108,0.99789,1.14566,0.73386,0.57502,0.64189,0.46939,1.0484,1.5053,1.23685,0.000279063,0.000279063,0.000279063
44,1534.39,0.86184,0.97297,1.14055,0.72652,0.59305,0.66135,0.48719,1.02271,1.41771,1.23376,0.000264064,0.000264064,0.000264064
45,1569.46,0.85467,0.98134,1.13836,0.68956,0.57918,0.63721,0.4578,1.04344,1.53286,1.23763,0.000249066,0.000249066,0.000249066
46,1604.28,0.84334,0.97064,1.13306,0.6937,0.60088,0.64634,0.47184,1.04811,1.50411,1.24913,0.000234068,0.000234068,0.000234068
47,1639.2,0.84407,0.9555,1.12539,0.70013,0.59531,0.64412,0.47256,1.04116,1.49105,1.22122,0.000219069,0.000219069,0.000219069
48,1674.16,0.8435,0.94075,1.13262,0.69896,0.5795,0.63252,0.45941,1.04709,1.56947,1.2389,0.00020407,0.00020407,0.00020407
49,1708.99,0.82142,0.9207,1.11962,0.71406,0.58306,0.64333,0.47588,1.04418,1.55392,1.23796,0.000189072,0.000189072,0.000189072
50,1744.05,0.8193,0.92169,1.11769,0.71537,0.57453,0.64511,0.47244,1.04203,1.52765,1.23619,0.000174074,0.000174074,0.000174074
51,1798.73,0.78677,0.80789,1.08329,0.69861,0.57285,0.63385,0.46834,1.04399,1.51302,1.22975,0.000159075,0.000159075,0.000159075
52,1832.58,0.75868,0.72609,1.06837,0.71399,0.58294,0.64088,0.46858,1.04698,1.51938,1.22563,0.000144077,0.000144077,0.000144077
53,1866.52,0.75217,0.71059,1.06301,0.71,0.55646,0.63179,0.46567,1.05128,1.59226,1.23254,0.000129078,0.000129078,0.000129078
54,1900.5,0.74162,0.68544,1.05504,0.69663,0.57679,0.63152,0.47068,1.05204,1.59776,1.23806,0.00011408,0.00011408,0.00011408
55,1934.6,0.73759,0.6749,1.05039,0.7128,0.57562,0.63252,0.46895,1.03875,1.61866,1.22641,9.9081e-05,9.9081e-05,9.9081e-05
56,1968.83,0.72098,0.65497,1.03984,0.69643,0.58213,0.63139,0.46725,1.04848,1.6009,1.23736,8.40825e-05,8.40825e-05,8.40825e-05
57,2003.72,0.72428,0.65161,1.04067,0.69946,0.58209,0.63777,0.4708,1.05106,1.62499,1.23428,6.9084e-05,6.9084e-05,6.9084e-05
58,2037.59,0.7048,0.6323,1.03336,0.72562,0.58521,0.64187,0.47341,1.04055,1.64871,1.22889,5.40855e-05,5.40855e-05,5.40855e-05
59,2071.58,0.70933,0.62048,1.03361,0.71499,0.57143,0.63518,0.47257,1.04637,1.66656,1.23605,3.9087e-05,3.9087e-05,3.9087e-05
60,2105.62,0.69886,0.60919,1.02561,0.6966,0.59024,0.64158,0.47765,1.04104,1.62655,1.23227,2.40885e-05,2.40885e-05,2.40885e-05
